track_uri,track_name,album,artist_name,track_pop,year,language,link
spotify:track:2jVyCd6U4DmX5dTdkauFMO,Zulmi Sang Ankh Ladi Re,Madhumati (Original Motion Picture Soundtrack),Lata Mangeshkar,9,1950,hindi,https://open.spotify.com/track/spotify:track:2jVyCd6U4DmX5dTdkauFMO?si=b0d970dc39ca4da1&nd=1
spotify:track:3dxySHrZDMW7kkCokJgi3S,Mohe Bhool Gaye Sanwariya,Baiju Bawra (Original Motion Picture Soundtrack),Lata Mangeshkar,9,1950,hindi,https://open.spotify.com/track/spotify:track:3dxySHrZDMW7kkCokJgi3S?si=b0d970dc39ca4da1&nd=1
spotify:track:1WnwFA8HIJdLviWvSI123c,Nakhrewali,New Delhi (Original Motion Picture Soundtrack),Kishore Kumar,9,1950,hindi,https://open.spotify.com/track/spotify:track:1WnwFA8HIJdLviWvSI123c?si=b0d970dc39ca4da1&nd=1
spotify:track:0hyceyKQrWmTjhpGYvi4JJ,Thandi Hawa Kali Ghata,Mr. And Mrs. 55 (Original Motion Picture Soundtrack),Geeta Dutt,9,1950,hindi,https://open.spotify.com/track/spotify:track:0hyceyKQrWmTjhpGYvi4JJ?si=b0d970dc39ca4da1&nd=1
spotify:track:5ZHPH7eLwoo2CcNhi5yHAV,Eena Meena Deeka - Female Vocals,Aasha (Original Motion Picture Soundtrack),Asha Bhosle,9,1950,hindi,https://open.spotify.com/track/spotify:track:5ZHPH7eLwoo2CcNhi5yHAV?si=b0d970dc39ca4da1&nd=1
spotify:track:3TH7A3dK4KCsOMtRD01PET,"Reshmi Salwar Kurta Jali Ka, Pt. 1",Naya Daur (Original Motion Picture Soundtrack),Asha Bhosle,9,1950,hindi,https://open.spotify.com/track/spotify:track:3TH7A3dK4KCsOMtRD01PET?si=b0d970dc39ca4da1&nd=1
spotify:track:02McTYKHnBN1Cp5ZnCbYVl,Jinhen Naaz Hai Hind Par,Pyaasa (Original Motion Picture Soundtrack),Mohammed Rafi,9,1950,hindi,https://open.spotify.com/track/spotify:track:02McTYKHnBN1Cp5ZnCbYVl?si=b0d970dc39ca4da1&nd=1
spotify:track:22FKMxkCJexl2ZNoeFNny4,O Nigahe Mastana,Paying Guest (Original Motion Picture Soundtrack),Kishore Kumar,8,1950,hindi,https://open.spotify.com/track/spotify:track:22FKMxkCJexl2ZNoeFNny4?si=b0d970dc39ca4da1&nd=1
spotify:track:22gahCqmUJzrHFOuPuvfsl,Bachpan Ke Din,Sujata (Original Motion Picture Soundtrack),Asha Bhosle,8,1950,hindi,https://open.spotify.com/track/spotify:track:22gahCqmUJzrHFOuPuvfsl?si=b0d970dc39ca4da1&nd=1
spotify:track:0NI6GWpew74TGY2QeYbuGN,Vande Mataram - Female Vocals,Anand Math (Original Motion Picture Soundtrack),Lata Mangeshkar,8,1950,hindi,https://open.spotify.com/track/spotify:track:0NI6GWpew74TGY2QeYbuGN?si=b0d970dc39ca4da1&nd=1
spotify:track:3wKILMMysQyu1tIxlOWoCG,Jago Mohan Pyare,Jagte Raho (Original Motion Picture Soundtrack),Lata Mangeshkar,8,1950,hindi,https://open.spotify.com/track/spotify:track:3wKILMMysQyu1tIxlOWoCG?si=b0d970dc39ca4da1&nd=1
spotify:track:58crUVDx0XCL0Cg9P5jW23,Nazar Lagi Raja Tore Bangle Par,Kala Pani (Original Motion Picture Soundtrack),Asha Bhosle,8,1950,hindi,https://open.spotify.com/track/spotify:track:58crUVDx0XCL0Cg9P5jW23?si=b0d970dc39ca4da1&nd=1
spotify:track:4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis' Golden Records,Elvis Presley,66,1950,english,https://open.spotify.com/track/spotify:track:4gphxUgq0JSFv2BCLhNDiE?si=b0d970dc39ca4da1&nd=1
spotify:track:64VP3skE86iTvdOlbzuIcO,Great Balls Of Fire,Jerry Lee's Greatest,Jerry Lee Lewis,69,1950,english,https://open.spotify.com/track/spotify:track:64VP3skE86iTvdOlbzuIcO?si=b0d970dc39ca4da1&nd=1
spotify:track:5Oc0vLGWdEWeCqIU8zyELt,Hound Dog,Ball n' Chain,Big Mama Thornton,55,1950,english,https://open.spotify.com/track/spotify:track:5Oc0vLGWdEWeCqIU8zyELt?si=b0d970dc39ca4da1&nd=1
spotify:track:7caj6X6NMX3tlhWnu1du6V,We Belong Together,Ritchie Valens,Ritchie Valens,69,1950,english,https://open.spotify.com/track/spotify:track:7caj6X6NMX3tlhWnu1du6V?si=b0d970dc39ca4da1&nd=1
spotify:track:2CeqxyOZEyiL6pTDYZ9gPH,Fever,The Best Of Peggy Lee,Peggy Lee,55,1950,english,https://open.spotify.com/track/spotify:track:2CeqxyOZEyiL6pTDYZ9gPH?si=b0d970dc39ca4da1&nd=1
spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,That's All,Bobby Darin,68,1950,english,https://open.spotify.com/track/spotify:track:3KzgdYUlqV6TOG7JCmx2Wg?si=b0d970dc39ca4da1&nd=1
spotify:track:7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,Sings His Favorites,Paul Anka,58,1950,english,https://open.spotify.com/track/spotify:track:7eqNATKM78MkWP6aHGXHEV?si=b0d970dc39ca4da1&nd=1
spotify:track:2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,"Ray Charles (aka: Hallelujah, I Love Her So)",Ray Charles,67,1950,english,https://open.spotify.com/track/spotify:track:2xar08Fq5xra2KKZs5Bw9j?si=b0d970dc39ca4da1&nd=1
spotify:track:648TTtYB0bH0P8Hfy0FmkL,Unforgettable,Unforgettable,Nat King Cole,67,1950,english,https://open.spotify.com/track/spotify:track:648TTtYB0bH0P8Hfy0FmkL?si=b0d970dc39ca4da1&nd=1
spotify:track:4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,Billie Holiday,Billie Holiday,67,1950,english,https://open.spotify.com/track/spotify:track:4smkJW6uzoHxGReZqqwHS5?si=b0d970dc39ca4da1&nd=1
spotify:track:5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,This Is Dean Martin,Dean Martin,66,1950,english,https://open.spotify.com/track/spotify:track:5OkKOkdVTKFrYi6GWXkMzR?si=b0d970dc39ca4da1&nd=1
spotify:track:2aEeghgUcnu75tzcolFMfs,La Bamba - Single Version,Ritchie Valens,Ritchie Valens,66,1950,english,https://open.spotify.com/track/spotify:track:2aEeghgUcnu75tzcolFMfs?si=b0d970dc39ca4da1&nd=1
spotify:track:3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,66,1950,english,https://open.spotify.com/track/spotify:track:3aEJMh1cXKEjgh52claxQp?si=b0d970dc39ca4da1&nd=1
spotify:track:0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,Chet Baker Sings,Chet Baker,65,1950,english,https://open.spotify.com/track/spotify:track:0F845nujLVqCb0XMZCh5Pc?si=b0d970dc39ca4da1&nd=1
spotify:track:64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis' Golden Records,Elvis Presley,65,1950,english,https://open.spotify.com/track/spotify:track:64Ny7djQ6rNJspquof2KoX?si=b0d970dc39ca4da1&nd=1
spotify:track:3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,Flamingo Serenade,The Flamingos,65,1950,english,https://open.spotify.com/track/spotify:track:3YdKJzcoMZMacISlpY4QoP?si=b0d970dc39ca4da1&nd=1
